DataSet,split,hybrid,Accuracy,Precision,Recall,F1-Score,AUC,MCC,ErrorTipoI,ErrorTipoII,MatrixConfusion
newhmeq.csv_arbol,twoing,False,0.9198,0.9254,0.9918,0.9575,0.5876,0.3277,0.8167,0.0082,"[[11, 49], [5, 608]]"
newhmeq.csv_patrones,entropy,False,0.9183,0.924,0.9918,0.9567,0.5793,0.306,0.8333,0.0082,"[[10, 50], [5, 608]]"
newhmeq.csv_arbol,entropy,False,0.9198,0.9241,0.9935,0.9575,0.5801,0.3197,0.8333,0.0065,"[[10, 50], [4, 609]]"
newhmeq.csv_patrones,entropy,True,0.9212,0.9255,0.9935,0.9583,0.5884,0.3413,0.8167,0.0065,"[[11, 49], [4, 609]]"
newhmeq.csv_arbol,entropy,True,0.9212,0.9255,0.9935,0.9583,0.5884,0.3413,0.8167,0.0065,"[[11, 49], [4, 609]]"
ppdaiData.csv_patrones,gini,False,0.871,0.8719,0.9986,0.931,0.5052,0.0661,0.9882,0.0014,"[[17, 1420], [14, 9669]]"
ppdaiData.csv_arbol,gini,False,0.871,0.8719,0.9986,0.931,0.5052,0.0661,0.9882,0.0014,"[[17, 1420], [14, 9669]]"
ppdaiData.csv_patrones,gini,True,0.871,0.8719,0.9986,0.931,0.5052,0.0661,0.9882,0.0014,"[[17, 1420], [14, 9669]]"
ppdaiData.csv_arbol,gini,True,0.871,0.8719,0.9986,0.931,0.5052,0.0661,0.9882,0.0014,"[[17, 1420], [14, 9669]]"
ppdaiData.csv_patrones,twoing,False,0.871,0.8719,0.9986,0.931,0.5052,0.0661,0.9882,0.0014,"[[17, 1420], [14, 9669]]"
ppdaiData.csv_arbol,twoing,False,0.871,0.8719,0.9986,0.931,0.5052,0.0661,0.9882,0.0014,"[[17, 1420], [14, 9669]]"
ppdaiData.csv_patrones,entropy,False,0.8715,0.8733,0.997,0.9311,0.5114,0.0994,0.9743,0.003,"[[37, 1400], [29, 9654]]"
ppdaiData.csv_arbol,entropy,False,0.8715,0.8733,0.997,0.9311,0.5114,0.0994,0.9743,0.003,"[[37, 1400], [29, 9654]]"
ppdaiData.csv_patrones,entropy,True,0.8712,0.872,0.9988,0.9311,0.5053,0.0697,0.9882,0.0012,"[[17, 1420], [12, 9671]]"
ppdaiData.csv_arbol,entropy,True,0.8712,0.872,0.9988,0.9311,0.5053,0.0697,0.9882,0.0012,"[[17, 1420], [12, 9671]]"
